,insufficient_funds,bank_server_error,invalid_otp,risk_block,network_timeout,card_expired,limit_exceeded,other,overall
bank_response_code,1.8698921055719535,1.5147974208544468,1.2019338092979008,0.8566550825449704,1.0180735643808239,0.7783519555102002,0.7184014363842448,0.6017524778348369,1.0699822315474221
merchant_prior_attempt_count,0.11494207688246906,0.21766352476079157,0.044452666840488195,0.07431639063517594,0.5217230020360911,0.2769837766277394,0.6235653814097009,0.11239442346016151,0.24825515533157722
day_of_month,0.044710390903958744,0.046741422075171214,0.08154494405964109,0.04968363274763747,0.3407255740070903,0.08871600321653911,0.07731973753976985,0.09144366837072293,0.10261067161506635
gateway_recent_failure_rate,0.08007621815921694,0.07517508440540548,0.07318832693160045,0.07194065527792608,0.0983298434518041,0.11755057681325368,0.1563517668987531,0.10056686536709307,0.0966474171631316
merchant_hist_failure_rate,0.05999807789221811,0.060526119823763005,0.1435628562368822,0.08796481031375152,0.05475182549317321,0.10130040126569935,0.11922308650067431,0.09033650239075408,0.08970795998961448
payment_method,0.046594976366194564,0.060361912323658944,0.019138986769330728,0.07661671625028864,0.16403977202795328,0.2624298771181145,0.05626901050808965,0.028733172805825803,0.089273053021182
amount,0.11237667150953501,0.07326441099167302,0.08764262665733638,0.07920050962688695,0.09571018934750064,0.0760537387650889,0.08000554142873505,0.09940634716081274,0.08795750443594609
hour,0.05979473341318281,0.07296009050679016,0.0952911639326245,0.0691520453280716,0.03757785199624253,0.056345673429176346,0.0631357829440598,0.08453794223246076,0.06734941047282607
customer_prior_attempt_count,0.021845865563830322,0.041453902315543516,0.05301347866640261,0.048247795118745315,0.0742891667044328,0.035827010824552155,0.11422229752125526,0.03950960843917528,0.05355114064424216
customer_hist_failure_rate,0.04359170337800871,0.02475518620813904,0.020358999618964348,0.014633373722452788,0.038660548694822,0.07463825454373273,0.05018871086499891,0.019439527029773307,0.035783288007611484
gateway,0.0224412489388524,0.01602136946400068,0.01800452483619549,0.032960446427810944,0.01440534530630338,0.03122782056135086,0.08339053603583235,0.05570916223728056,0.03427005672595333
prev_decline_reason,0.022733200077295963,0.037861207791005685,0.024120605262953898,0.05441203045592565,0.002265518253056913,0.08583224161005414,0.020378551003986663,0.009264092884239955,0.032108430917314856
merchant_id,0.03041515478375845,0.007667825203465238,0.05888830803091478,0.01926037859587242,0.013210754272362268,0.01516764701998391,0.08398346937093347,0.005942502098205479,0.029317004921937003
attempt_number,0.02553186307090692,0.0021212825977769594,0.0046536930678372545,0.040465578829155954,0.007870684870142102,0.06776089265267456,0.009450664144401728,0.019351991792374523,0.02215083137815875
prev_bank_response_code,0.0029911324596536577,0.0,0.0,0.01732548423062077,0.02502107274434643,0.03935016720554886,0.018820615532776315,0.06047596857107508,0.02049805509300264
is_weekend,0.0478142675365236,0.006881757229884395,0.005051631182625405,0.004726299464565111,0.007624303094187712,0.004898193201338398,0.07090455181945492,0.011591076943407438,0.019936510058998373
day_of_week,0.009894909440631438,0.009863919794165265,0.015019731510449037,0.0485885295427966,0.02168780275260578,0.013126023746918743,0.010229601529856717,0.011189958225135745,0.017450059567819916
is_recurring,0.0,0.0,0.0007901144043481391,0.10129770657458878,0.0004136100709427557,0.0,0.0015717547379522437,0.0019218467663104633,0.013249379069267798
merchant_archetype,0.012096343717213994,0.0005067230521093727,0.004506704257645235,0.01814031376504262,0.010068641866222543,0.014505520836282225,0.007426619259096092,0.006127151868292309,0.009172252327738049
hour_bucket,0.0036694942990990226,0.028814086565575683,0.0035637923801949485,0.004532483242959895,0.0023728195364290145,0.0011852473567155722,0.007963926970862924,0.004989712380422753,0.007136445341532478
is_near_month_end,0.0,0.001964780688001291,0.0025914672107237267,0.001876876097925601,0.006123469618153342,0.0,0.003545056810579804,0.02399680562675308,0.005012307006517105
n_prev_attempts_this_txn,0.0030919156581201025,0.0014964148327765762,0.000345408640461806,0.005482479152055603,0.0005451326222799297,0.013393352848895493,0.0001327441202761683,0.0,0.00306093098435821
amount_bucket,0.010150295904675899,0.003346075676911029,0.0016055322961944834,0.0022544220914750466,0.0012074016341785648,0.0,0.0,0.0037565133440611177,0.0027900301184370178
is_retry,0.0019333724719256043,0.0,0.0,0.004910588376250787,0.0015434119356770037,0.003916014890888542,0.0008834266792650545,0.0006220163455112676,0.0017261038374397825
