transaction_id,amount,truth_category,predicted_category,predicted_confidence,bank_response_code,attempt_number,policy_action,policy_timing,policy_confidence,policy_flagged,policy_reason,guardrail_checks,hard_rule_should_apply,hard_rule_violation,policy_recovered,policy_time_to_recovery_s,policy_gateway_fee,policy_annoyance_cost,baseline_a_action,baseline_a_recovered,baseline_b_action,baseline_b_recovered,baseline_b_time_to_recovery_s,baseline_b_gateway_fee,baseline_b_annoyance_cost,is_hard_fp_policy,is_hard_fp_baseline_b,is_over_block,over_block_expected_recovery,other_category_policy_gap,gt_is_recoverable,gt_ideal_retry_action,gt_requires_customer_action,gt_is_fallback,is_wasted_retry,guardrail_hard_category,guardrail_violation_gt,gt_label_mismatch
833508e6c4b34e64adf48e980c28c06f,1999.0,insufficient_funds,insufficient_funds,0.906,U69,1,alt_payment_method_prompt,immediate,0.55,False,"ML/heuristic layer: category='insufficient_funds' (classifier confidence 0.91) -> alt_payment_method_prompt has the highest estimated recovery probability (0.55). Candidates: same_gateway_retry=0.04, alt_gateway_retry=0.04, alt_payment_method_prompt=0.55, delayed_retry=0.30.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.91, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),False,,2.0,5.0,False,False,False,0.0,False,False,delayed_retry,False,False,True,False,False,False
4c8fe02e9e8f436e8fc8ec3a37d3aa8d,499.0,network_timeout,network_timeout,0.947,UBT_TIMEOUT,1,same_gateway_retry,immediate,0.654,False,"ML/heuristic layer: category='network_timeout' (classifier confidence 0.95) -> same_gateway_retry has the highest estimated recovery probability (0.65). Candidates: same_gateway_retry=0.65, alt_gateway_retry=0.65, alt_payment_method_prompt=0.15, delayed_retry=0.60.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.95, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),True,3609.3052268435504,2.0,0.0,False,False,False,0.0,False,True,same_gateway_retry,False,False,False,False,False,False
2cd6cfb988c049aea38cd48c7942300b,1999.0,insufficient_funds,insufficient_funds,0.879,51,1,alt_payment_method_prompt,immediate,0.55,False,"ML/heuristic layer: category='insufficient_funds' (classifier confidence 0.88) -> alt_payment_method_prompt has the highest estimated recovery probability (0.55). Candidates: same_gateway_retry=0.04, alt_gateway_retry=0.04, alt_payment_method_prompt=0.55, delayed_retry=0.30.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.88, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),False,,2.0,5.0,False,False,False,0.0,False,False,delayed_retry,False,False,True,False,False,False
1020b4355fa5434c8ace12249785318b,1999.0,bank_server_error,bank_server_error,0.699,U96,1,delayed_retry,delay_300s,0.68,False,"ML/heuristic layer: category='bank_server_error' (classifier confidence 0.70) -> delayed_retry has the highest estimated recovery probability (0.68). Candidates: same_gateway_retry=0.58, alt_gateway_retry=0.58, alt_payment_method_prompt=0.20, delayed_retry=0.68.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.70, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),True,3617.981995820182,2.0,0.0,False,False,False,0.0,False,True,same_gateway_retry,False,False,False,False,False,False
e6d3021275124491b53b948a6e5db4d6,999.0,risk_block,risk_block,0.954,59,1,no_retry,,1.0,True,"HARD RULE: classifier category = risk_block -> no_retry, mandatory human review. No alternate gateway or payment method is suggested for this case.",hard_rule:risk_block_no_retry,True,False,,,0.0,0.0,no_retry,False,same_gateway_retry(naive_1h),False,,2.0,5.0,False,True,False,0.0,False,False,no_retry,False,False,False,True,False,False
c0496b1b25604c5dae1988999bf32f87,499.0,bank_server_error,bank_server_error,0.5,91,1,delayed_retry,delay_300s,0.68,False,"ML/heuristic layer: category='bank_server_error' (classifier confidence 0.50) -> delayed_retry has the highest estimated recovery probability (0.68). Candidates: same_gateway_retry=0.58, alt_gateway_retry=0.58, alt_payment_method_prompt=0.20, delayed_retry=0.68.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.50, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),False,,2.0,5.0,False,False,False,0.0,False,True,same_gateway_retry,False,False,False,False,False,False
53936b8b961a49878371c615027623df,2999.0,bank_server_error,bank_server_error,0.918,96,1,delayed_retry,delay_300s,0.68,False,"ML/heuristic layer: category='bank_server_error' (classifier confidence 0.92) -> delayed_retry has the highest estimated recovery probability (0.68). Candidates: same_gateway_retry=0.57, alt_gateway_retry=0.58, alt_payment_method_prompt=0.20, delayed_retry=0.68.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.92, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),True,3617.9147053575584,2.0,0.0,False,False,False,0.0,False,True,same_gateway_retry,False,False,False,False,False,False
e9047cf47707459fa2e144dbf2dcaacc,2999.0,invalid_otp,invalid_otp,0.967,80,1,same_gateway_retry,immediate,0.58,False,"ML/heuristic layer: category='invalid_otp' (classifier confidence 0.97) -> same_gateway_retry has the highest estimated recovery probability (0.58). Candidates: same_gateway_retry=0.58, alt_gateway_retry=0.20, alt_payment_method_prompt=0.35, delayed_retry=0.30.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.97, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),True,3650.818860859827,2.0,0.0,False,False,False,0.0,False,True,same_gateway_retry,True,False,False,False,False,False
7eccd841ccdf4686ac5d5d3d463fcf4b,499.0,network_timeout,network_timeout,0.744,91,1,same_gateway_retry,immediate,0.657,False,"ML/heuristic layer: category='network_timeout' (classifier confidence 0.74) -> same_gateway_retry has the highest estimated recovery probability (0.66). Candidates: same_gateway_retry=0.66, alt_gateway_retry=0.65, alt_payment_method_prompt=0.15, delayed_retry=0.60.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.74, ok)",False,False,True,13.179288530462081,2.0,0.0,no_retry,False,same_gateway_retry(naive_1h),True,3662.4722329276738,2.0,0.0,False,False,False,0.0,False,True,same_gateway_retry,False,False,False,False,False,False
0868c38c8d0c4ee987adbc04aec65eab,2510.0,invalid_otp,invalid_otp,0.96,3DS_OTP_FAIL,1,same_gateway_retry,immediate,0.58,False,"ML/heuristic layer: category='invalid_otp' (classifier confidence 0.96) -> same_gateway_retry has the highest estimated recovery probability (0.58). Candidates: same_gateway_retry=0.58, alt_gateway_retry=0.20, alt_payment_method_prompt=0.35, delayed_retry=0.30.","guardrail:customer_opt_out (not opted out); guardrail:max_attempts (count=1, cap=3, ok); guardrail:cooldown_window (n/a); guardrail:low_classifier_confidence (confidence=0.96, ok)",False,False,False,,2.0,5.0,no_retry,False,same_gateway_retry(naive_1h),False,,2.0,5.0,False,False,False,0.0,False,True,same_gateway_retry,True,False,False,False,False,False
